Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Spiraea_tomentosa,Varietas,1 varieta,Spiraea_tomentosa_var._rosea,,,,,,,,
Stizophyllum_inaequilaterum,Unresolved,None,None,,,,,,,,
Symphyotrichum_ascendens,Unresolved,None,None,,,,,,,,
Symphyotrichum_oolentangiense,Unresolved,None,None,,,,,,,,
Tanacetum_corymbosum,Subspecies,1 subspecies,Tanacetum_corymbosum_subsp._corymbosum,,,,,,,,
Taraxacum_confusum,Unresolved,None,None,,,,,,,,
Taraxacum_fulvum,Unresolved,None,None,,,,,,,,
Tetrathylacium_johansenii,Unresolved,None,None,,,,,,,,
Thalictrum_exaltatum,Unresolved,None,None,,,,,,,,
Thelypteris_palustris,Unresolved,1 varieta,None,,,,,,,,
Thymus_glabrescens,Unresolved,None,None,,,,,,,,
Thymus_praecox,Subspecies,2 subspecies,Thymus_praecox_subsp._polytrichus,,,,,,,,
Trema_micranthum,Equivalent,Trema micrantha,Trema_micrantha,,,,,,,,
Trisetaria_flavescens,Unresolved,None,None,,,,,,,,
Verbascum_sinuatum,Varietas,1 varieta,Verbascum_sinuatum_var._adenosepalum,,,,,,,,
Festuca_ambigua,Synonym,Vulpia ciliata,Vulpia_ciliata,,,,,,,,
Xanthium_albinum,Unresolved,None,None,,,,,,,,
Xanthium_orientale,Unresolved,None,None,,,,,,,,
Calicotome_spinosa,Unresolved,None,None,,,,,,,,
Ceanothus_fendleri,Unresolved,2 varietas,None,,,,,,,,
Chamaecrista_desvauxii,Varietas,15 varietas,Chamaecrista_desvauxii_var._desvauxii,Chamaecrista_desvauxii_var._langsdorffii,Chamaecrista_desvauxii_var._latistipula,Chamaecrista_desvauxii_var._mollissima,Chamaecrista_desvauxii_var._glauca,Chamaecrista_desvauxii_var._linearis,,,
Coronilla_vaginalis,Unresolved,None,None,,,,,,,,
Crotalaria_sagittalis,Unresolved,None,None,,,,,,,,
Cytisus_nigricans,Subspecies,1 subspecies,Cytisus_nigricans_subsp._atratus,,,,,,,,
Hippophae_fluviatilis,Unresolved,None,None,,,,,,,,
Laburnum_anagyroides,Subspecies,1 subspecies,Laburnum_anagyroides_subsp._anagyroides,,,,,,,,
Lotus_wrightii,Unresolved,None,None,,,,,,,,
Oxytropis_campestris,Varietas,2 varietas 3 subspecies,Oxytropis_campestris_var._gracilis,Oxytropis_campestris_var._jordalii,Oxytropis_campestris_subsp._johannensis,,,,,,
