Species_name,Symbiotic_type,C-selection,S-selection,R-selection,CSR_categorical_level
Brachypodium sylvaticum,AM,26.34114209,21.40626512,52.25259278,R/CSR
Briza media var. caucasica,AM,10.81436727,45.66300615,43.52262658,SR
Briza media,AM,22.1103839,27.16592503,50.72369106,R/CSR
Bromus arvensis,AM,26.20843735,45.22123971,28.57032294,S/CSR
Bromus benekenii,AM,9.337623019,59.36975198,31.292625,S/SR
Bromus ciliatus,AM,11.82842803,48.79915751,39.37241445,SR/CSR
Bromus commutatus,AM,26.54543199,29.30377743,44.15079058,R/CSR
Bromus diandrus,AM,22.73413099,38.89550045,38.37036855,SR/CSR
Bromus erectus,AM,11.80979209,64.39404634,23.79616158,S/SR
Bromus grossus,AM,12.89496834,43.46280743,43.64222423,SR/CSR
Bromus hordeaceus,AM,17.40449796,47.02933392,35.56616812,SR/CSR
Bromus inermis,AM,37.27579161,38.79796087,23.92624752,CS/CSR
Bromus japonicus,AM,13.35193661,54.83585679,31.8122066,S/CSR
Bromus kalmii,AM,16.38288192,55.36879946,28.24831862,S/CSR
Bromus lanceolatus,AM,4.53456038,43.75412521,51.71131441,SR
Bromus madritensis,AM,8.041850178,31.11956146,60.83858836,R/SR
Bromus racemosus,AM,44.95920201,6.704122838,48.33667515,CR
Bromus ramosus,AM,36.64282478,29.96297649,33.39419872,CSR
Bromus secalinus,AM,31.90242377,42.41468071,25.68289551,CSR
Bromus squarrosus,AM,35.52217778,16.42811896,48.04970326,CR/CSR
Bromus sterilis,AM,15.9921059,40.09673631,43.91115779,SR/CSR
Brosimum alicastrum,AM,36.03145987,55.50213378,8.466406347,CS
Brosimum guianense,AM,36.65458068,49.01373793,14.33168139,CS/CSR
Brosimum utile,AM,49.3251313,50.51175995,0.163108754,CS
Broussonetia papyrifera,AM,59.07785942,22.40779465,18.51434593,C/CSR
Bryonia alba,AM,55.93298806,1.284793554,42.78221839,CR
Buchenavia tetraphylla,AM,22.11954257,66.05556688,11.82489055,S/CS
Buddleja davidii,AM,48.26178629,44.54741633,7.190797381,CS
Bunium bulbocastanum,AM,45.74441408,0,54.25558592,CR
Buphthalmum salicifolium,AM,24.35167484,16.62021441,59.02811075,R/CSR
Bupleurum ranunculoides,AM,19.33870358,79.6775977,0.983698727,S/CS
Bupleurum rotundifolium,AM,34.31480009,33.02541147,32.65978843,CSR
Bupleurum stellatum,AM,12.3242145,60.49719526,27.17859024,S/CSR
Bupleurum tenuissimum,AM,5.656301036,14.68153212,79.66216685,R/SR
Buxus sempervirens,AM,10.8702114,89.1297886,0,S
Byrsonima dealbata,AM,35.88740489,64.11259511,0,S/CS
Byrsonima sericea,AM,35.65156138,62.79306934,1.555369273,S/CS
Byrsonima verbascifolia,AM,43.61371108,56.38628892,0,CS
Cacalia plantaginea,AM,28.9701477,71.0298523,0,S/CS
Paubrasilia echinata,AM,14.43660961,67.59068213,17.97270826,S/SR
Calamagrostis arundinacea,AM,25.04338702,55.46673063,19.48988234,S/CSR
Calamagrostis canescens,AM,23.54372898,40.86652303,35.58974799,SR/CSR
Calamagrostis purpurea,AM,26.34422966,43.75572285,29.90004749,CSR
Calamagrostis varia,AM,25.51664172,42.30044847,32.18290982,CSR
Calamagrostis villosa,AM,19.38039125,42.27067057,38.34893818,SR/CSR
Calamintha nepeta,AM,11.3643054,82.24708964,6.388604966,S
Calea coronopifolia,AM,8.264084298,91.7359157,0,S
Calendula arvensis,AM,36.14981728,0,63.85018272,R/CR
Callichlamys latifolia,AM,63.63243253,20.66214919,15.70541827,C/CSR
Calophyllum brasiliense,AM,55.26921221,32.30381161,12.42697618,C/CSR
Calophyllum longifolium,AM,57.44569242,42.55430758,0,CS
Calystegia sepium,AM,44.84691696,8.123420972,47.02966207,CR
Calystegia silvatica,AM,45.1101333,0,54.8898667,CR
Calystegia soldanella,AM,49.41404259,0,50.58595741,CR
Campanula barbata,AM,18.43981154,28.90714055,52.65304792,R/CSR
Campanula cenisia,AM,3.703273659,49.70759754,46.5891288,SR
Campanula cervicaria,AM,21.38281505,39.7503968,38.86678815,SR/CSR
Campanula cochleariifolia,AM,3.632742662,29.6812151,66.68604224,R/SR
Campanula collina,AM,30.82434248,35.85505538,33.32060215,CSR
Campanula excisa,AM,0,3.785961558,96.21403844,R
Campanula glomerata,AM,54.37211968,12.42505383,33.20282649,C/CSR
Campanula latifolia,AM,44.81516635,0,55.18483365,CR
Campanula persicifolia,AM,20.7814012,36.77673748,42.44186132,SR/CSR
Campanula raineri,AM,22.5303394,0,77.4696606,R/CR
Campanula rapunculoides,AM,35.02730387,0,64.97269613,R/CR
Campanula rapunculus,AM,28.99472645,0,71.00527355,R/CR
Campanula rotundifolia,AM,7.370461651,23.60399958,69.02553877,R/SR
Campanula scheuchzeri,AM,3.125265086,52.28036546,44.59436946,SR
Campanula sibirica,AM,18.95799013,48.57214314,32.46986672,SR/CSR
