Species_name,Symbiotic_type,C-selection,S-selection,R-selection
Buddleja davidii,AM,48.26178629,44.54741633,7.190797381
Bunium bulbocastanum,AM,45.74441408,0,54.25558592
Buphthalmum salicifolium,AM,24.35167484,16.62021441,59.02811075
Bupleurum ranunculoides,AM,19.33870358,79.6775977,0.983698727
Bupleurum rotundifolium,AM,34.31480009,33.02541147,32.65978843
Bupleurum stellatum,AM,12.3242145,60.49719526,27.17859024
Bupleurum tenuissimum,AM,5.656301036,14.68153212,79.66216685
Buxus sempervirens,AM,10.8702114,89.1297886,0
Byrsonima dealbata,AM,35.88740489,64.11259511,0
Byrsonima sericea,AM,35.65156138,62.79306934,1.555369273
Byrsonima verbascifolia,AM,43.61371108,56.38628892,0
Cacalia plantaginea,AM,28.9701477,71.0298523,0
Paubrasilia echinata,AM,14.43660961,67.59068213,17.97270826
Calamagrostis arundinacea,AM,25.04338702,55.46673063,19.48988234
Calamagrostis canescens,AM,23.54372898,40.86652303,35.58974799
Calamagrostis purpurea,AM,26.34422966,43.75572285,29.90004749
Calamagrostis varia,AM,25.51664172,42.30044847,32.18290982
Calamagrostis villosa,AM,19.38039125,42.27067057,38.34893818
Calamintha nepeta,AM,11.3643054,82.24708964,6.388604966
Calea coronopifolia,AM,8.264084298,91.7359157,0
Calendula arvensis,AM,36.14981728,0,63.85018272
Callichlamys latifolia,AM,63.63243253,20.66214919,15.70541827
Calophyllum brasiliense,AM,55.26921221,32.30381161,12.42697618
Calophyllum longifolium,AM,57.44569242,42.55430758,0
Calystegia sepium,AM,44.84691696,8.123420972,47.02966207
Calystegia silvatica,AM,45.1101333,0,54.8898667
Calystegia soldanella,AM,49.41404259,0,50.58595741
Campanula barbata,AM,18.43981154,28.90714055,52.65304792
Campanula cenisia,AM,3.703273659,49.70759754,46.5891288
Campanula cervicaria,AM,21.38281505,39.7503968,38.86678815
Campanula cochleariifolia,AM,3.632742662,29.6812151,66.68604224
Campanula collina,AM,30.82434248,35.85505538,33.32060215
Campanula excisa,AM,0,3.785961558,96.21403844
Campanula glomerata,AM,54.37211968,12.42505383,33.20282649
Campanula latifolia,AM,44.81516635,0,55.18483365
Campanula persicifolia,AM,20.7814012,36.77673748,42.44186132
Campanula raineri,AM,22.5303394,0,77.4696606
Campanula rapunculoides,AM,35.02730387,0,64.97269613
Campanula rapunculus,AM,28.99472645,0,71.00527355
Campanula rotundifolia,AM,7.370461651,23.60399958,69.02553877
Campanula scheuchzeri,AM,3.125265086,52.28036546,44.59436946
Campanula sibirica,AM,18.95799013,48.57214314,32.46986672
Campanula spicata,AM,56.78154078,0,43.21845922
Campanula trachelium,AM,44.06783113,0,55.93216887
Campanula tridentata,AM,12.27507283,60.30190717,27.42302
Canarium littorale,AM,56.91217694,43.08782306,0
Canarium littorale,AM,44.12280912,55.87719088,0
Cannabis sativa,AM,45.26841649,22.714494,32.01708952
Caraipa densifolia,AM,37.65163557,50.55855361,11.78981082
Carapa guianensis,AM,67.85087252,32.14912748,0
Carduus acanthoides,AM,65.70498341,0,34.29501659
Carduus defloratus,AM,75.03432124,0,24.96567876
Carlina acaulis,AM,44.44747286,18.86418605,36.68834109
Carlina vulgaris,AM,58.71910657,0,41.28089343
Carthamus tinctorius,AM,70.1836108,0,29.8163892
Carum carvi,AM,31.92582015,29.05938976,39.01479009
Carum caucasicum,AM,29.87488086,55.35420444,14.7709147
Carum meifolium,AM,22.88140985,40.13362703,36.98496312
Casearia aculeata,AM,30.454977,48.03191017,21.51311284
Casearia arborea,AM,39.74349276,36.34446828,23.91203896
Casearia commersoniana,AM,44.19833336,44.5231614,11.27850524
Casearia guianensis,AM,43.88909983,29.31121819,26.79968198
Casearia javitensis,AM,43.60048659,48.04348517,8.356028232
Casearia sylvestris,AM,30.58714775,50.84664792,18.56620433
Castilla elastica,AM,67.76799779,21.1937569,11.0382453
Catabrosella variegata,AM,13.37925009,59.00520821,27.61554169
Catananche caerulea,AM,44.51715983,0,55.48284017
Caulophyllum thalictroides,AM,36.50306446,17.73015222,45.76678332
Cavanillesia platanifolia,AM,79.19020978,7.655320143,13.15447007
Cayaponia granatensis,AM,67.69301893,24.58560067,7.721380407
Cecropia insignis,AM,83.33854047,16.66145953,0
Cecropia longipes,AM,88.6796945,3.96615407,7.354151427
Cecropia obtusifolia,AM,83.13188894,13.08316075,3.784950309
Cecropia pachystachya,AM,79.76219784,10.50371832,9.734083838
Cedrela odorata,AM,68.64769944,16.81961747,14.53268309
Ceiba pentandra,AM,43.767953,47.34165998,8.890387019
Celtis australis,AM,41.04396168,37.98699369,20.96904464
Celtis iguanaea,AM,40.01668861,19.93333325,40.04997814
Celtis schippii,AM,42.36622554,41.94800321,15.68577125
Cenchrus longispinus,AM,17.20991772,50.71773251,32.07234977
Centaurea aspera,AM,48.88129315,0,51.11870685
Centaurea calcitrapa,AM,48.82999432,0.046311018,51.12369466
Centaurea cheiranthifolia,AM,56.96983083,0,43.03016917
Centaurea cyanus,AM,40.19014541,9.476703607,50.33315099
Centaurea deusta,AM,51.60255747,29.8470534,18.55038912
Centaurea diffusa,AM,25.27071778,38.09562407,36.63365816
Centaurea jacea,AM,39.18541878,24.35298022,36.461601
Centaurea maculosa,AM,18.45882168,48.64467579,32.89650253
Centaurea nigra,AM,26.22649991,55.23369604,18.53980405
Centaurea nigrescens,AM,46.2088914,8.770493459,45.02061515
Centaurea phrygia,AM,57.08778563,0,42.91221437
Centaurea rhaetica,AM,13.08479974,49.4111648,37.50403547
Centaurea scabiosa,AM,54.43894233,22.13602136,23.42503631
Centaurea solstitialis,AM,29.22868228,13.18766375,57.58365397
Centaurea stoebe,AM,32.88811898,1.198295843,65.91358518
Centaurea uniflora,AM,18.23140427,48.7248902,33.04370553
Centaurium erythraea,AM,23.27070776,15.8920409,60.83725134
Centaurium littorale,AM,1.001636098,44.37171067,54.62665324
Centaurium pulchellum,AM,0,10.2615647,89.7384353
Cephalotaxus fortunei,AM,9.937083164,90.06291684,0
Bromus catharticus,AM,31.296239,45.37268652,23.33107449
Cercis canadensis,AM,12.49007383,71.98381836,15.5261078
Cercis siliquastrum,AM,44.85620307,41.58317021,13.56062673
Cestrum megalophyllum,AM,58.07606494,26.12328371,15.80065135
Chaerophyllum bulbosum,AM,57.93034363,26.29953581,15.77012056
Chaerophyllum hirsutum,AM,44.73453288,15.09046759,40.17499953
Chaerophyllum roseum,AM,29.80177386,45.37587823,24.8223479
Chaetocarpus myrsinites,AM,41.8680478,53.86310542,4.268846784
Chaetopappa ericoides,AM,0,63.12731232,36.87268768
Chamaesciadium acaule,AM,14.48684506,72.56171263,12.95144231
Chamguava schippii,AM,38.77243079,50.42394721,10.803622
Chimarrhis parviflora,AM,64.34041591,21.84567539,13.81390871
Chondrilla juncea,AM,47.46520412,15.47430107,37.06049481
Leucanthemum vulgare,AM,19.87419758,55.48762339,24.63817903
Chrysochlamys eclipes,AM,70.30438828,28.03515791,1.660453814
Chrysophyllum argenteum,AM,47.94879376,40.98021576,11.07099049
Chrysophyllum cainito,AM,35.64669293,56.91187302,7.441434052
Chrysophyllum rufum,AM,35.11288368,60.25623877,4.630877555
Chrysopsis camporum,AM,10.28131682,89.71868318,0
Cicendia filiformis,AM,0,35.15985345,64.84014655
Cicerbita alpina,AM,65.24373632,0,34.75626368
Cicerbita racemosa,AM,43.02141415,1.06357165,55.9150142
Cichorium intybus,AM,36.55119148,41.67869382,21.77011471
Cicuta virosa,AM,78.9319262,0,21.0680738
Cinnamomum glanduliferum,AM,46.85646278,42.54948401,10.59405321
Cinnamomum triplinerve,AM,49.59866373,45.40043584,5.000900436
Circaea alpina,AM,22.94724184,6.653835484,70.39892268
Circaea lutetiana,AM,42.79913766,0,57.20086234
